episode,reward
3210,-7780.577691553335,-6555.357458493002
3220,-7643.858050260678,-6558.737895113399
3230,-7958.895490830025,-6563.072748350912
3240,-7967.090624704064,-6567.406136858174
3250,-8415.830667282022,-6573.093596951785
3260,-7645.007538744996,-6576.381676527841
3270,-7997.977932368264,-6580.729065689433
3280,-8320.457708942773,-6586.033116431059
3290,-8377.106288893736,-6591.477107836722
3300,-7955.9960388941545,-6595.612013688411
3310,-7485.1453725000665,-6598.299425648567
3320,-7177.165217800731,-6600.042997311675
3330,-7505.852821454607,-6602.763146933726
3340,-7441.555407279331,-6605.2745010066155
3350,-7776.801576015891,-6608.771596752912
3360,-7322.851118822376,-6610.896833425739
3370,-7279.213233606011,-6612.879968144374
3380,-7001.430721804228,-6614.029526587155
3390,-6877.261212454223,-6614.80602123573
3400,-7227.165966795803,-6616.607079899142
3410,-6148.741370253752,-6615.235039694903
3420,-7371.247817104799,-6617.445603371539
3430,-6397.273562037188,-6616.803702376395
3440,-5706.513763846752,-6614.157510694622
3450,-6381.621218390416,-6613.48349245606
3460,-4772.336836596432,-6608.162259346641
3470,-5218.39712363219,-6604.157172500201
3480,-6121.914155574652,-6602.771416704438
3490,-6059.539880799889,-6601.214879352277
3500,-6275.680293500491,-6600.284780535559
3510,-6750.65270026754,-6600.713179167274
3520,-7076.12739511212,-6602.063787735299
3530,-5606.62965254417,-6599.243861006713
3540,-6611.20034757221,-6599.277636392492
3550,-7362.872545211617,-6601.42860796663
3560,-5622.327034148547,-6598.678322646918
3570,-6094.089895387205,-6597.264909685405
3580,-6709.383587588275,-6597.578090349939
3590,-6969.810931838811,-6598.614950632638
3600,-6254.790629354204,-6597.659883073531
3610,-6541.091501520713,-6597.503183955657
3620,-6534.50959797529,-6597.329168524773
3630,-7144.77069720174,-6598.837271909559
3640,-6211.221787489287,-6597.772394205108
3650,-6838.016613555757,-6598.430597545794
3660,-7606.511012964193,-6601.184915620707
3670,-7391.316215456398,-6603.337861941786
3680,-6066.484644420564,-6601.879021676784
3690,-7588.720567744698,-6604.553389010301
3700,-7198.080481197174,-6606.157516286482
3710,-7276.616971318083,-6607.964684628886
3720,-6746.785939047468,-6608.337860043991
3730,-6562.677900460056,-6608.215447283712
3740,-7148.7331266700785,-6609.660681720573
3750,-7075.684682396115,-6610.903412389041
3760,-7311.2463521553855,-6612.766026590548
3770,-6551.727480417696,-6612.60412063253
3780,-8167.15844492608,-6616.716698210026
3790,-7714.568603588863,-6619.613405084376
3800,-7277.345443785921,-6621.3442788704315
3810,-6882.639130090631,-6622.030092128228
3820,-6884.072300305799,-6622.716066495183
3830,-6734.269153363098,-6623.007327818598
3840,-6237.578725812636,-6622.003607500875
3850,-7179.427190874184,-6623.451460964184
3860,-6455.423019678688,-6623.016154121475
3870,-7295.181673818962,-6624.753015929477
3880,-6817.108119998714,-6625.2487765069745
3890,-7461.095622937757,-6627.39748305307
3900,-7126.63169137859,-6628.677570766725
3910,-6681.9238778864765,-6628.813750580331
3920,-8047.7767253527545,-6632.433554087402
3930,-7227.467724001397,-6633.94763594469
3940,-7427.623626960875,-6635.96204201326
3950,-7292.81215568191,-6637.624953693435
3960,-7476.790095327611,-6639.744057586449
3970,-7316.217040315032,-6641.448019759569
3980,-7204.230994193783,-6642.862047333524
3990,-7191.125275356603,-6644.236140636841
4000,-7809.809507623124,-6647.150074054307
4010,-7567.977409241781,-6649.4464015734775
4020,-7750.069858558751,-6652.184270869461
4030,-7460.9374208746785,-6654.191102507192
4040,-8046.529528412508,-6657.637484749531
4050,-7223.778124003712,-6659.035362871146
4060,-8079.381206852551,-6662.533751649427
4070,-7747.636056109752,-6665.199850677584
4080,-8135.657158334499,-6668.803912706155
4090,-8018.51778089218,-6672.103946613699
4100,-7639.684850633137,-6674.463900038137
4110,-7911.611283154021,-6677.473990994622
4120,-7407.139023691858,-6679.245022627382
4130,-7788.38483779313,-6681.930591187106
4140,-7329.35716404657,-6683.494423488699
4150,-7744.1685997256545,-6686.05026487722
4160,-7233.534519894232,-6687.366332797934
4170,-7953.442437275434,-6690.402486525698
4180,-7320.771136515368,-6691.910545496964
4190,-7945.3640388218,-6694.902081280555
4200,-7945.045039830814,-6697.8786121342455
4210,-7415.208268649241,-6699.5824830523325
4220,-7551.486353299362,-6701.601212602681
4230,-7407.215664946297,-6703.26933187536
4240,-7576.086182308461,-6705.327862182986
4250,-7633.356013082981,-6707.511457832164
4260,-7504.317102763886,-6709.381893618388
4270,-8191.085710836424,-6712.851925977211
4280,-7603.791509283255,-6714.933560517647
4290,-8339.73694640887,-6718.720980997578
4300,-8075.027683411402,-6721.875182631097
4310,-7627.860719732491,-6723.977237241542
4320,-7927.547801515482,-6726.763280214399
4330,-8394.431182659868,-6730.614707240832
4340,-7619.01416403232,-6732.661710597496
4350,-7992.444671187603,-6735.557763380464
4360,-7875.058243758316,-6738.1712965923425
4370,-8279.714912041098,-6741.698856353098
4380,-7931.810728490423,-6744.416006746106
4390,-8479.287219530797,-6748.36787739026
4400,-8567.24820909787,-6752.501696325961
4410,-8580.71328643023,-6756.647300838667
4420,-8579.624725725624,-6760.771684152892
4430,-8470.512601795865,-6764.6311444635985
4440,-8092.564324554082,-6767.621984959295
4450,-8158.631207505558,-6770.747848380747
4460,-7956.772927747746,-6773.4070974376245
4470,-8400.086458144644,-6777.046201152852
4480,-8232.386764231564,-6780.294729195439
4490,-8510.986099509766,-6784.149275677206
4500,-8146.111884754224,-6787.175859252934
4510,-8667.234193624749,-6791.344503009856
4520,-8361.421587822006,-6794.81812487891
4530,-8547.2909988692,-6798.686718419725
4540,-8332.247240022121,-6802.064605031184
4550,-8441.953006028436,-6805.668755363048
4560,-8341.836484297197,-6809.037544242287
4570,-7979.8247250202985,-6811.599441793222
4580,-8502.98502292028,-6815.292423411403
4590,-8394.80851584186,-6818.733634941752
4600,-8564.593933454278,-6822.52898341678
4610,-7900.584003965385,-6824.8674975611375
4620,-8218.524714923438,-6827.884071624692
4630,-8342.448608901475,-6831.155269329393
4640,-8186.357810770003,-6834.07596446181
4650,-8570.309877072477,-6837.809800833016
4660,-7970.422691080928,-6840.240300597495
4670,-8408.818921479073,-6843.599141327434
4680,-8398.092815411092,-6846.920709007101
4690,-8600.581734079798,-6850.659858314291
4700,-8778.044142387502,-6854.76067593998
4710,-8381.99484461463,-6858.003211329946
4720,-8611.095387284218,-6861.71738966883
4730,-8528.69767798428,-6865.241660891485
4740,-8599.480829069484,-6868.900393313801
4750,-8669.072331945745,-6872.690228974079
4760,-8407.458832916696,-6875.914532763874
4770,-8773.246507207792,-6879.892167930422
4780,-8277.91865078628,-6882.816909526353
4790,-8471.722299235136,-6886.134039776268
4800,-8461.28365997216,-6889.415601485009
4810,-8711.262043339035,-6893.203224025244
4820,-8438.291616951483,-6896.4088016039295
4830,-8640.739008721215,-6900.020251308106
4840,-8483.02344806568,-6903.290919070003
4850,-8899.219956569026,-6907.406236673092
4860,-7953.6825369006165,-6909.559068566564
4870,-8548.428765289102,-6912.92430408345
4880,-8505.42561144023,-6916.187626434589
4890,-8367.166180532953,-6919.154862741536
4900,-8438.297211186342,-6922.255153248567
4910,-7664.8287087175795,-6923.767523015309
4920,-7878.588225151473,-6925.708215499326
4930,-8194.694782014949,-6928.282224762033
4940,-8547.720562588835,-6931.560440020791
4950,-8122.194214615944,-6933.965760777547
4960,-7905.529112259515,-6935.924557857149
4970,-8238.030824032505,-6938.5444899822505
4980,-8452.736932852986,-6941.585037056288
4990,-8345.041137670494,-6944.397574332068
5000,-8143.306353758055,-6946.795391890921
