episode,interval,reward
10,-1025.9843583041463,-1025.9843583041463
20,-616.4751801224193,-821.2297692132828
30,-330.3911597144593,-657.6168993803417
40,-126.46973147667211,-524.8301074044243
50,17.673801348779854,-416.32932565378354
60,124.31657373807539,-326.2216757551403
70,185.59695336210262,-253.10472873839126
80,229.67965009870537,-192.75668138375423
90,274.0038883668935,-140.8943958559045
100,294.99529924222753,-97.30542634609132
110,328.740050390242,-58.574019370061
120,339.9229958350053,-25.36593476963881
130,308.99461864474017,0.35410780069803466
140,367.18966168140594,26.556647363605745
150,396.8169951760953,51.24067055110504
160,404.91897884936907,73.34556481974654
170,415.0455225492853,93.44556233324884
180,341.3422607851888,107.21760113613436
190,376.1060035781141,121.36962231729116
200,376.7848845205864,134.1403854274559
210,396.30737043141767,146.62452757050173
220,453.9531467429282,160.5940102601575
230,438.13337882483864,172.6609393281871
240,424.9565790752857,183.17325765098286
250,415.16774790236866,192.45303726103833
260,436.9327949293108,201.85610486366417
270,455.187928151813,211.23876498544746
280,435.11271885469057,219.23426333792042
290,439.627306620221,226.83402345110326
300,398.7466391716232,232.56444397512067
310,384.1605410680038,237.45464065553622
320,414.0713722273243,242.97391351715459
330,437.67379526763455,248.87390993383585
340,462.6661251594066,255.16191626399967
350,409.043068848821,259.5585206235659
360,393.4620045312433,263.2780618432236
370,427.6553199244684,267.720690440014
380,452.6967057990472,272.5884803178832
390,473.16981416449346,277.73159144215543
400,472.92957455385505,282.61154101994777
410,478.31519826412784,287.38480095273263
420,441.2821674070324,291.0490239635493
430,424.5499934962737,294.15369767361267
440,450.059562035129,297.69701277273805
450,474.62963977559946,301.62884892835723
460,452.19177308109175,304.9019559751559
470,470.7070558279212,308.4297240571296
480,473.11599480437343,311.8606880310305
490,493.2269594612162,315.5620405091976
500,458.6635111641002,318.4240699222956
