episode,interval,reward
10,-53.16457606102281,-53.16457606102281
20,-48.74406553062319,-50.954320795822994
30,-64.25730793782823,-55.388649843158056
40,-72.5150328704407,-59.67024559997871
50,-73.50184178809636,-62.43656483760223
60,-54.250750190100106,-61.072262396351896
70,-77.67235827767863,-63.443704665112854
80,-63.36317358657309,-63.43363828029537
90,-73.25114279641242,-64.52447211541947
100,-75.28814480913594,-65.6008393847911
110,-68.96047665894464,-65.9062609551687
120,-101.89925851277705,-68.90567741830273
130,-78.68295036010053,-69.65777533690256
140,-91.57235996437961,-71.22310281029381
150,-90.5174716914633,-72.50939406903845
160,-90.61460312039279,-73.64096963474812
170,-90.86734312111247,-74.65428572218134
180,-127.22252560311566,-77.57474349334436
190,-139.82494813226586,-80.8510700532876
200,-77.93011008354235,-80.70502205480031
210,-100.79359298794404,-81.6616206706643
220,-127.79072142040522,-83.75839797747071
230,-93.10985333820649,-84.16498299315487
240,-141.5404461638735,-86.55562729193481
250,-133.35296173940338,-88.42752066983357
260,-125.90553998061091,-89.86898295101732
270,-131.55766464707227,-91.41300819901937
280,-91.7817077890132,-91.42617604151916
290,-264.50636910686603,-97.39445856101386
300,3.621337769078431,-94.02726535001082
310,-192.49389153596422,-97.2036081302029
320,-107.78696578568864,-97.53433805693678
330,-116.92655103118963,-98.12198087433836
340,-177.11970826496864,-100.44544344465103
350,-120.45123099421953,-101.01703737463873
360,-169.16733392639702,-102.91010116774311
370,-127.13141361308524,-103.56473123383344
380,-106.07723118195536,-103.63084965352087
390,-127.83143442307684,-104.25137746812486
400,-146.59635817053987,-105.31000198568522
410,-155.22986017392023,-106.5275595024714
420,-121.58954257848004,-106.88617814713828
430,-135.93574737651846,-107.56174952456573
440,-125.7176915136741,-107.97438456977274
450,-142.08677247196505,-108.73243763426589
460,-129.38948152491778,-109.18150380580178
470,-56.87475800354167,-108.06859432064732
480,-97.80081112975887,-107.85468217083717
490,-121.42861223728701,-108.13170115178514
500,-66.96226935594892,-107.30831251586842
510,-102.41167565652472,-107.21230002843032
520,-95.69866546368443,-106.99088397910829
530,-162.3498726037871,-108.03539319844188
540,13.021634892392061,-105.79359638194497
550,-153.7215344306277,-106.66501343737559
560,-43.332795308467425,-105.53408097078795
570,38.95546675531816,-102.99917662471593
580,-115.45614308070135,-103.21395190843981
590,-52.40660632367754,-102.35281045785062
600,-133.4338000199516,-102.8708269505523
610,-122.83503031031178,-103.19810897284344
620,-136.26045690475138,-103.73137264916448
630,-82.83910687526456,-103.39974938291213
640,-99.67596285896249,-103.34156521847544
650,-10.074594879657722,-101.90668875172443
660,-143.46312165721045,-102.53633167453481
670,-86.81215947070707,-102.30164253716427
680,-63.435165275445776,-101.73007669508017
