episode,Reward-1
2880,384.2067978079
2890,386.1656976313
2900,388.1497135841
2910,390.1096780858
2920,392.0442150651
2930,394.0008671229
2940,395.8925434191
2950,397.8207664128
2960,399.7337775755
2970,401.6307828586
2980,403.4733064486
2990,405.2967066729
3000,407.1366416333
3010,408.9112726227
3020,410.6717666269
3030,412.4423814928
3040,414.2449345715
3050,416.0729483259
3060,417.8440949095
3070,419.6281730937
3080,421.4089925628
3090,423.1926982911
3100,424.9732606977
3110,426.7323910142
3120,428.4872241549
3130,430.2278481188
3140,431.9624209635
3150,433.6631596476
3160,435.3875672528
3170,437.0821459451
3180,438.8110460563
3190,440.445443243
3200,442.0935571516
3210,443.7584069263
3220,445.4091263503
3230,447.0612278147
3240,448.7078495975
3250,450.3455102739
3260,451.9552681044
3270,453.5548267544
3280,455.1456463269
3290,456.7368342503
3300,458.3128253292
3310,459.8912999948
3320,461.439596031
3330,462.981963212
3340,464.5092677169
3350,466.0316852406
3360,467.5369430976
3370,469.0664141407
3380,470.5640829557
3390,471.9647431285
3400,473.4007653454
3410,474.8615185225
3420,476.3215371916
3430,477.7374366331
3440,479.1251309908
3450,480.5084025202
3460,481.8884346298
3470,483.2571725256
3480,484.6360429791
3490,486.0541166865
3500,487.450772147
3510,488.80947285
3520,490.16818183
3530,491.5453874589
3540,492.9096682167
3550,494.2820879582
3560,495.6319257952
3570,496.9974292492
3580,498.3423612382
3590,499.6797829148
3600,500.9557423779
3610,502.2028003186
3620,503.4354727954
3630,504.7155761558
3640,505.986653859
3650,507.1757041841
3660,508.3573897201
3670,509.5727219122
3680,510.8039953067
3690,511.9870025542
3700,513.1846067192
3710,514.389009272
3720,515.5512548996
3730,516.6746864311
3740,517.8312135933
3750,518.9751709173
3760,520.126803023
3770,521.2631856853
3780,522.4203251027
3790,523.5975320352
3800,524.7928336237
3810,525.997192275
3820,527.193248744
3830,528.3845090223
3840,529.5789317557
3850,530.7373595067
3860,531.911768574
3870,533.0699274624
3880,534.2112551895
3890,535.3710735759
3900,536.5125921197
3910,537.6569657947
3920,538.7950469502
3930,539.9286961951
3940,541.0608611633
3950,542.1798449732
3960,543.3223451124
3970,544.4499817916
3980,545.5516635141
3990,546.6737670029
4000,547.7953081361
4010,548.8861626682
4020,549.9706519409
4030,551.0289004696
4040,552.0198475721
4050,553.0391739629
4060,554.0565239613
4070,555.0764815465
4080,556.1031040911
4090,557.1138570217
4100,558.1423232379
4110,559.1710099338
4120,560.2082590789
4130,561.2538002106
4140,562.2659244491
4150,563.273992163
4160,564.2893365772
4170,565.3011178991
4180,566.3156146681
4190,567.3171185502
4200,568.3019490662
4210,569.301803319
4220,570.27375517
4230,571.25749854
4240,572.2308822799
4250,573.2050477433
4260,574.1719646278
4270,575.150688655
4280,576.1091712301
4290,577.0687751484
4300,578.0204162619
4310,578.9602873777
4320,579.8968106796
4330,580.8347366403
4340,581.7742074148
4350,582.7064293657
4360,583.6457981227
4370,584.5842020955
4380,585.5087387707
4390,586.4371554338
4400,587.3525887905
4410,588.2773412662
4420,589.1950792434
4430,590.0899281804
4440,590.9933094567
4450,591.8817409053
4460,592.7623290152
4470,593.6409328316
4480,594.5212601277
4490,595.4013873732
4500,596.2803406925
4510,597.1596932838
4520,598.0309009845
4530,598.9005521025
4540,599.7721289407
4550,600.6281052608
4560,601.48524609
4570,602.3232743722
4580,603.1658970305
4590,604.0035679888
4600,604.8365208423
4610,605.6729763154
4620,606.5021283587
4630,607.3285419575
4640,608.1455656341
4650,608.9384390559
4660,609.7631989624
4670,610.5844731513
4680,611.3868288603
4690,612.1812584923
4700,612.9574908981
4710,613.7397458029
4720,614.5368837008
4730,615.3364369627
4740,616.1212411068
4750,616.9125017337
4760,617.6876221141
4770,618.4671376442
4780,619.2445589588
4790,620.0305967868
4800,620.8084383817
4810,621.5828897019
4820,622.3527287769
4830,623.1107463584
4840,623.8676495489
4850,624.6273178799
4860,625.3871278857
4870,626.1369496477
4880,626.884147056
4890,627.620019128
4900,628.366350435
4910,629.0986081671
4920,629.8268681103
4930,630.5662440417
4940,631.3052069559
4950,632.0370148808
4960,632.7662178057
4970,633.4941963553
4980,634.2178348485
4990,634.9249344529
5000,635.6404035544
