episode,Reward-1
10,11.9636684148
20,2.0148155552
30,-0.0794709828
40,-0.3862355231
50,-0.1532934666
60,0.9846336762
70,0.5039631552
80,0.7585939917
90,1.3407508919
100,-1.0096097514
110,-3.4183011762
120,-2.2734312018
130,4.83933583
140,5.1611748738
150,2.2070962672
160,-0.7048649432
170,6.3658528728
180,1.0083186395
190,3.7920542823
200,5.04448703
210,4.503850214
220,2.2382102456
230,4.2923359048
240,5.667622915
250,6.658583577
260,7.1634686882
270,7.0823556534
280,6.2703592314
290,8.8518379948
300,8.1363857954
310,7.5435202654
320,7.2243988466
330,3.3851592943
340,4.0632835446
350,4.4190309872
360,4.2314063668
370,4.1461374584
380,6.1856789707
390,7.1923810629
400,7.5406556448
410,8.1239373759
420,8.9850262481
430,8.652562831
440,8.510345996
450,8.1054232361
460,9.4905673861
470,9.2079547271
480,8.949346378
490,9.8428786756
500,10.4151028581
510,12.4306670771
520,12.0092785974
530,11.6958009379
540,12.071347667
550,10.1225798095
560,8.4576678783
570,9.1397135128
580,9.4682230419
590,10.9937383398
600,9.4794895847
610,9.5357956767
620,10.2410093866
630,8.9937788354
640,8.2900284256
650,7.2495646552
660,7.8397842281
670,7.8753555236
680,7.64130243
690,7.3996477998
700,7.2483913495
710,7.2462823359
720,7.1389224473
730,7.1044512701
740,7.0736132184
750,6.958752787
760,6.9249644203
770,6.9167545291
780,6.8591757954
790,6.8153127009
800,6.6206923646
810,6.6627532945
820,6.6672431209
830,6.5344687631
840,6.4906553584
850,6.4241996468
860,6.4035941014
870,6.3858238194
880,6.2905020682
890,6.3896282295
900,6.3460933103
910,6.3678184927
920,6.2617990844
930,6.2920646964
940,6.3313963009
950,6.3139710568
960,6.2135758113
970,6.2205137135
980,6.1707501647
990,6.1003278675
1000,6.017056054
1010,5.9837375753
1020,5.9638202743
1030,5.8790181497
1040,5.7945786123
1050,5.7992050659
1060,5.7791172482
1070,5.8004846132
1080,5.6893717187
1090,5.664302627
1100,5.6276650676
1110,5.6348742348
1120,5.7335817049
1130,5.6292103814
1140,5.6516668458
1150,5.5572121732
1160,5.5753352359
1170,5.6656835691
1180,5.6560334967
1190,5.6479480091
1200,5.7697068485
1210,5.7457817159
1220,5.6973451163
1230,5.647529819
1240,5.6095563619
1250,5.5329943508
1260,5.4915976538
1270,5.4265490233
1280,5.2461171928
1290,5.2161527029
1300,5.2564227789
1310,5.2120548966
1320,5.196890112
1330,5.2188983583
1340,5.1990450407
1350,5.1514838268
1360,5.0801998203
1370,5.1061523261
1380,5.0517732249
1390,5.1509604063
1400,5.2065262192
1410,5.1727837859
1420,5.2255740138
1430,5.1474569362
1440,5.071157848
1450,5.0711222527
1460,5.0693938721
1470,5.0492740266
1480,5.000992544
1490,4.9266548657
1500,4.8829980749
1510,4.8550099719
1520,4.8742533361
1530,4.9545542703
1540,5.0003874592
1550,5.0774211592
1560,5.1821740223
1570,4.993792777
1580,4.94492336
1590,4.876936586
1600,4.8256338864
1610,4.8835938539
1620,4.9017057193
1630,4.9378729213
1640,4.9176518779
1650,4.8200942763
1660,4.8411437895
1670,4.8404485427
1680,4.8122130002
1690,4.7668854891
1700,4.7185879879
1710,4.736353553
1720,4.6533797789
1730,4.6933805289
1740,4.7931863226
1750,4.8359108252
1760,4.86096097
1770,4.7790364127
1780,4.7219846063
1790,4.6834762239
1800,4.6097810626
1810,4.5468352509
1820,4.5097405167
1830,4.5067639353
1840,4.4609031009
1850,4.47246998
1860,4.4418809673
1870,4.4487694693
1880,4.4618950716
1890,4.435872262
1900,4.4396006719
1910,4.3325800661
1920,4.2705262021
1930,4.2794757084
1940,4.189827838
1950,4.1282511177
1960,4.0666942451
1970,4.0530282366
1980,4.0625748863
1990,4.090101457
2000,4.0880519781
2010,4.1019030573
2020,4.0171143406
2030,3.9440931216
2040,3.9072681044
2050,3.7811319205
2060,3.6708824286
2070,3.5454542742
2080,3.4972020604
2090,3.4540808626
2100,3.4117797109
2110,3.3375583538
2120,3.3279696728
2130,3.297596871
2140,3.2576327425
2150,3.2029684881
2160,3.1625038217
2170,3.0938893426
2180,3.0683545071
2190,3.082565189
2200,3.0452411043
2210,3.0015405937
2220,3.0437617927
2230,3.0255167597
2240,2.991957154
2250,2.9388848126
2260,2.8837949917
2270,2.9051689292
2280,2.9627727474
2290,3.0627337405
2300,3.0916443467
2310,3.0762392701
2320,3.1043760284
2330,3.0628378062
2340,3.146342749
2350,3.138862003
2360,3.0874443337
2370,3.1002440127
2380,3.0645209278
2390,3.0552672505
2400,3.0068877301
2410,2.9836333249
2420,3.0204121841
2430,3.1122231244
2440,3.075509495
2450,3.0139109987
2460,3.044494917
2470,3.0746131895
2480,3.0442437254
2490,3.0289753022
2500,3.0135694007
2510,2.9759426895
2520,2.9283765521
2530,2.9454967621
2540,2.8828615381
2550,2.8313460584
2560,2.7956607402
2570,2.7572883495
2580,2.7849465981
2590,2.7715958571
2600,2.7672810723
2610,2.7543849266
2620,2.6979749634
2630,2.7162247736
2640,2.7278102456
2650,2.7161547891
2660,2.6945769365
2670,2.6651940748
2680,2.6735212169
2690,2.6358124953
2700,2.6429690717
2710,2.623769067
2720,2.6443713813
2730,2.6244822691
2740,2.6178256485
2750,2.6418171888
2760,2.6471510535
2770,2.6623773581
2780,2.6624651804
2790,2.6686800961
2800,2.6563033266
2810,2.6625760913
2820,2.6591761084
2830,2.654590712
2840,2.6550528154
2850,2.6305097497
2860,2.6508336916
